Stream_Name,LTER,Latitude,Longitude,Name,drainSqKm,elevation_mean_m,major_soil,major_rock,major_land,median_q,prop_area,precip,evapotrans,temp,npp,cycle0,Max_Daylength
BURE AT HORSTEAD MILL,UK,52.7282975,1.3559547,Humid Temperate,313,39.94444444,alfisols,sedimentary,cropland,2.25,0.197507958,2.066468514,49.3903147,9.945823477,7.26E-05,75.94736842,16.77768011
BUSEDRA,NIVA,59.75257593,10.00789751,Humid Continental,17034,754.0039586,spodosols,metamorphic,evergreen_needleleaf_forest,297.722846,0.640935293,3.360305997,361.2594899,1.780443702,0.385189455,122.1578947,18.61245813
CALDER AT WHALLEY WEIR,UK,53.8204622,-2.4131294,Humid Temperate,316,233.5666199,inceptisols,sedimentary,cropland,4.73,0.254270844,2.649046236,1044.056794,8.991645895,8.40E-05,67.31578947,17.00035124
CAM AT BOTTISHAM,UK,52.327271,0.25401644,Humid Temperate,803,60.53134328,mollisols,sedimentary,cropland,2.432,0.173208971,2.281216097,303.9600187,10.13386949,6.50E-05,55.63157895,16.69985467
CAMEL AT DENBY,UK,50.4915614,-4.8012843,Humid Temperate,208.8,178.1491597,entisols,,cropland,4.029,0.173741452,3.657403946,57.29397793,10.94376378,8.60E-05,70.15789474,16.36719833
CAN AT BEACH'S MILL,UK,51.7380264,0.44618195,Humid Temperate,228.4,68.55823293,alfisols,sedimentary,cropland,0.525,0.177494406,2.210941762,638.9762628,10.34993488,8.00E-05,54,16.58901961
Canada Stream at F1,MCM,-77.613655,163.0547333,Polar Desert,0.186,109,,sedimentary; metamorphic,,0,NA,0.409367832,NA,NA,NA,NA,24
Canadian River,USGS,35.4703261,-101.879628,Semi-Arid,50362.32,1642.060183,mollisols,sedimentary,shrubland_grassland,0.72165,0.437139738,1.323280231,226.4598998,11.40677416,0.249925248,120.0526316,14.50986206
CANAJOHARIE CREEK,USGS,42.87627778,-74.6028611,Humid Continental,154.6223,323.74,inceptisols,sedimentary,deciduous_broadleaf_forest,0.97918,0.382214057,3.428797203,742.4649042,6.960870946,0.706819335,102.1052632,15.28395944
Cane Creek,USGS,35.98722222,-79.20611111,Humid Subtropical,19.52785,203.3863636,ultisols,metamorphic,mixed_forest,0.03981784,0.155292994,3.417444452,856.8799595,15.56361275,0.560343057,87.47368421,14.5579637
Caracarai,HYBAM,1.82,-61.12,Humid Tropical,126443,354.5067805,ultisols,metamorphic,evergreen_broadleaf_forest,1927,0.136591776,5.946522644,132.4314449,24.22637559,0.000101479,91.36842105,12.22415731
CH00.1M,UMR,44.41024225,-92.0841734,Humid Continental,23336,387.0486773,alfisols,sedimentary,cropland,168.668,0.456769364,2.782314118,696.4875247,5.836754702,0.676372705,115.2105263,15.47267002
CHELMER AT RUSHES LOCK,UK,51.7460775,0.65523892,Humid Temperate,533.9,67.89568966,alfisols,sedimentary,cropland,0.855,0.17800132,2.210941762,734.4937857,10.42712266,8.10E-05,56.78947368,16.59050689
CHELMER AT SPRINGFIELD,UK,51.7364305,0.47940967,Humid Temperate,190.3,79.70491803,alfisols,sedimentary,cropland,0.597,0.180281297,2.210941762,379.1892848,10.42712266,6.68E-05,60.57894737,16.58872489
CHERRY CREEK,USGS,39.74248685,-104.9999817,Semi-Arid,1061.895,1985.847924,mollisols,sedimentary,shrubland_grassland,0.81504,0.509485851,1.251837301,305.3048761,9.273282852,0.339046216,101.8947368,14.93198768
CHERWELL AT ENSLOW MILL,UK,51.7565175,-1.237898,Humid Temperate,551.7,136.8438031,inceptisols,sedimentary; carbonate_evaporite,cropland,2.48,0.167665778,2.351490433,163.8267858,9.922125126,6.49E-05,61.52631579,16.59243656
Choptank River,USGS,38.99719444,-75.78580556,Humid Subtropical,292.6587,20.55791506,ultisols,sedimentary,deciduous_broadleaf_forest,2.29366456,0.270124407,3.407227215,799.4843632,13.47414802,0.702643684,90.68421053,14.8540173
Ciudad Bolivar,HYBAM,8.14,-63.6,Tropical Savanna,827304,348.8887229,ultisols,sedimentary,evergreen_broadleaf_forest,31470,0.147998141,6.341325665,238.6998365,23.97550463,9.15E-05,92.42105263,12.58761105
CLINTON RIVER,USGS,42.6144781,-83.02659329,Humid Continental,800.3063,296.6953737,alfisols,sedimentary,cropland,6.5939,0.332154971,2.638907821,705.004273,8.705718235,0.657517292,98.52631579,15.25291558
CN00.1M,UMR,44.60340357,-92.59352939,Humid Continental,3471,331.5676615,mollisols,carbonate_evaporite,cropland,18.2535,0.524262774,2.589899135,630.8666499,7.134685716,0.516922013,127.7894737,15.49730599
Coal Creek,Coal Creek,38.877297,-106.97748,Subarctic,54,3169.046729,inceptisols,sedimentary; plutonic,evergreen_needleleaf_forest,NA,0.734867575,1.262381768,503.7807827,0.380686499,0.446949069,139.5789474,14.84165936
COLNE AT HYTHE END,UK,51.4339934,-0.5153427,Humid Temperate,929.5,95.06640625,alfisols,carbonate_evaporite,cropland,1.66,0.186924945,2.351490433,1203.661797,10.22697047,9.85E-05,65.63157895,16.53338627
COLNE AT LEXDEN,UK,51.8910067,0.91523098,Humid Temperate,238.2,68.13092979,mollisols,sedimentary,cropland,0.559,0.178965229,2.210941762,33.6958831,10.20682247,6.09E-05,63.21052632,16.61740586
COLORADO RIVER AT NIB,USGS,32.7186587,-114.7188444,Arid,46228.7,1723.98938,entisols,sedimentary,shrubland_grassland,59.147,0.553590235,0.908971327,195.6886475,11.21387851,0.198574177,116,14.26545039
COLORADO RIVER NEAR UTAH STATE LINE,USGS,39.13276047,-109.0270546,Semi-Arid,638950.1,2634.65906,mollisols,sedimentary,shrubland_grassland,105.559,0.63616702,1.140100958,392.5911227,3.783119798,0.368680417,122.0526316,14.86805116
Commonwealth Stream at C1,MCM,-77.444534,162.6535339,Polar Desert,0.3373646,56.57894737,,metamorphic,,0,NA,0.409367832,NA,NA,NA,NA,24
Como Creek,NWT,40.03496,-105.54416,Subarctic,4.9,3296.6,inceptisols,plutonic,shrubland_grassland,0.00313426,0.677776875,1.093297169,345.9524761,0.903566976,0.418766356,137.8947368,14.96314392
Congo a Beach Brazzaville,HYBAM,-4.28,15.3,Tropical Savanna,3642970,738.5861328,ultisols,sedimentary,evergreen_broadleaf_forest,39300,0.158514693,4.024418089,366.6981914,23.62186574,0.000100893,72.05263158,12.363442
CONNECTICUT RIVER AT THOMPSONVILLE,USGS,41.9873186,-72.6053669,Humid Continental,25019.29,396.7205258,spodosols,metamorphic,deciduous_broadleaf_forest,356.58,0.317342053,3.621166921,680.0401298,6.141094061,0.79860067,112.2105263,15.17983719
CONTENTNEA CREEK,USGS,35.42888889,-77.5825,Humid Subtropical,1898.461,48.08759373,ultisols,sedimentary,cropland,12.2822,0.184118019,3.417444452,744.9255826,16.25990201,0.613927565,91.52631579,14.50603786
COQUET AT MORWICK,UK,55.347457,-1.6262507,Humid Temperate,569.8,232.5799848,spodosols,sedimentary; carbonate_evaporite,cropland,4.7,0.272974473,2.616759196,37.05613202,7.825009179,6.06E-05,82.89473684,17.34173866
Corral Gulch,USGS,39.92027778,-108.4722222,Humid Continental,82.35882,2309.515723,mollisols,sedimentary,shrubland_grassland,0.01585743,0.67734783,1.064623937,276.8608187,6.730633844,0.243735041,111.2631579,14.95088878
CREEDY AT COWLEY,UK,50.7603533,-3.5595508,Humid Temperate,261.6,130.600713,entisols,sedimentary,cropland,1.64,0.181481288,3.657403946,39.88059876,10.22196756,7.84E-05,49.84210526,16.41366701
Crescent Stream at F8,MCM,-77.444534,162.6535339,Polar Desert,0.4853737,280.24,,metamorphic,,0,NA,0.409367832,NA,NA,NA,NA,24
CU11.6M,UMR,38.92418552,-90.74887506,Humid Subtropical,2338,216.9180915,alfisols,carbonate_evaporite,cropland,3.1696,0.296267604,3.179091154,682.7952181,13.1473893,0.590663274,92.78947368,14.84648621
CUCKMERE AT SHERMAN BRIDGE,UK,50.8251764,0.17379114,Humid Temperate,134.7,56.65979381,inceptisols,carbonate_evaporite,cropland,0.34,0.180274449,2.210941762,52.12640508,10.66871053,8.33E-05,70.78947368,16.42498215
CULM AT WOODMILL,UK,50.7682529,-3.5059248,Humid Temperate,226.1,159.1538462,entisols,sedimentary,cropland,2.28,0.174952418,3.657403946,34.954479,10.62640674,7.35E-05,51.84210526,16.41504364
Dalalven Alvkarleby,Swedish Goverment,60.5642064,17.4413937,Humid Continental,28690.90619,396.4740765,inceptisols,volcanic,evergreen_needleleaf_forest,348,0.61237193,2.018936001,366.2712143,3.099507118,0.495447714,105.5263158,18.91644009
DARLING RIVER AT BOURKE TOWN,Australia,-30.09,145.9,Semi-Arid,436061,344.7075652,oxisol,sedimentary,shrubland_grassland,11.913,0.130707778,1.656850951,47.92964635,18.6583243,4.46E-05,87.52631579,14.03962829
DARLING RIVER AT BURTUNDY,Australia,-33.74,142.3,Semi-Arid,544548,305.3694181,oxisol,sedimentary,shrubland_grassland,9.931,0.129678888,1.382904413,49.05212759,18.93387923,3.95E-05,88.36842105,14.34422497
DARLING RIVER AT MENINDEE UPSTREAM WEIR 32,Australia,-32.44,142.4,Arid,539115,307.9881876,oxisol,sedimentary,shrubland_grassland,4.954,0.129786683,1.450482655,49.31109718,18.94915059,3.97E-05,88.15789474,14.23244764
DARLING RIVER AT WILCANNIA MAIN CHANNEL,Australia,-31.56,143.4,Arid,534699,309.9807359,oxisol,sedimentary,shrubland_grassland,10.7475,0.129936312,1.50274458,45.9692586,18.94787178,3.98E-05,88.05263158,14.15891648
DART AT AUSTINS BRIDGE,UK,50.4401433,-3.6912388,Humid Temperate,247.6,334.0229008,inceptisols,sedimentary,cropland,7.01,0.20098193,3.657403946,37.75341126,10.58475665,7.99E-05,89.52631579,16.35839064
DARWEN AT BLUE BRIDGE,UK,53.7482259,-2.68234,Humid Temperate,128,168.6677019,inceptisols,sedimentary,cropland,2.28,0.263520947,3.156702961,1543.457947,9.185002796,0.000100827,62.26315789,16.98510927
DC01.0M,UMR,38.8528329,-90.549126,Humid Subtropical,264.2,177.7142857,alfisols,carbonate_evaporite,cropland,0.82353,0.260040099,3.179091154,674.9080448,13.69002436,0.577023613,87.47368421,14.839144
DEARNE AT ADWICK,UK,53.5051314,-1.2491237,Humid Temperate,310.8,113.3042857,inceptisols,carbonate_evaporite,cropland,2.1,0.254344896,2.649046236,1687.034449,8.99804084,0.000102903,51.47368421,16.93436925
Delangersan Iggesund,Swedish Goverment,61.6378506,17.0863531,Humid Continental,1987.57393,229.3714927,inceptisols,plutonic,evergreen_needleleaf_forest,0.222,0.614771668,1.963259399,380.506057,3.64386909,0.571400228,104.1578947,19.37146848
Delaware River at Trenton,USGS,40.22166667,-74.7780556,Humid Subtropical,17560.12,391.3096212,inceptisols,sedimentary,deciduous_broadleaf_forest,241.399,0.298889441,3.550216928,733.9460611,8.866297242,0.830274117,107.5789474,14.98320302
Delta Stream at F10,MCM,-77.444534,162.6535339,Polar Desert,0.6731267,388.1428571,,metamorphic,,0,NA,0.409367832,NA,NA,NA,NA,24
DERWENT AT BUTTERCRAMBE,UK,53.7633639,-0.9289926,Humid Temperate,1586,132.2632357,inceptisols,sedimentary; carbonate_evaporite,cropland,12.2,0.25050474,2.649046236,48.26342426,9.151685001,6.61E-05,75.73684211,16.9882971
DERWENT AT CHURCH WILNE,UK,52.8790744,-1.3298175,Humid Temperate,1177.5,248.032491,inceptisols,sedimentary; carbonate_evaporite,cropland,12.55,0.248790162,2.649046236,546.8467708,9.24652766,7.32E-05,63.89473684,16.80746599
DERWENT AT ROWLANDS GILL,UK,54.9379263,-1.7112184,Humid Temperate,242.1,289.4235501,spodosols,sedimentary; carbonate_evaporite,cropland,1.54,0.288332501,2.649046236,186.1176363,7.832302502,6.32E-05,79.31578947,17.24638101
DERWENT AT SEATON MILL,UK,54.6472147,-3.5388364,Humid Temperate,665.8,281.2348123,spodosols,volcanic; sedimentary; carbonate_evaporite,cropland,19.54,0.285900996,3.664359685,228.1452632,8.609859102,6.78E-05,73.26315789,17.18044605
Des Moines River,USGS,40.72780589,-91.959617,Humid Continental,36358.25,343.7032468,mollisols,sedimentary,cropland,195.27,0.44190849,2.614882408,640.4502449,9.042495248,0.485504808,130.5789474,15.03826355
Dismal River,USGS,41.7786111,-100.5252778,Humid Continental,2501.929,1079.24664,entisols,sedimentary,shrubland_grassland,6.4524,0.34239402,1.647905227,383.1196286,8.764029657,0.311648836,110.7894737,15.15590961
DON AT DONCASTER,UK,53.5215627,-1.1523007,Humid Temperate,1256.2,160.5889058,inceptisols,carbonate_evaporite,cropland,10.2,0.253623776,2.649046236,1969.471133,8.99804084,0.000111712,58.73684211,16.93777235
DON AT SHEFFIELD HADFIELDS,UK,53.4152641,-1.4131977,Humid Temperate,373,269.7468983,inceptisols,carbonate_evaporite,cropland,2.79,0.264630184,2.649046236,1688.44427,8.832926549,0.00010627,67.05263158,16.91582382
DOUGLAS AT WANES BLADES BRIDGE,UK,53.6073229,-2.7934183,Humid Temperate,198,105.027088,inceptisols,sedimentary,cropland,2.88,0.244113068,3.664359685,2273.799305,9.378359697,0.000121713,65.89473684,16.95559626
DOVE AT MARSTON ON DOVE,UK,52.8398505,-1.6035819,Humid Temperate,883.2,221.116129,inceptisols,sedimentary,cropland,9.84,0.221817367,2.649046236,79.08788577,9.316678233,5.96E-05,56.31578947,16.79968912
DUMARESQ RIVER AT GLENARBON WEIR,Australia,-28.69,150.9,Humid Subtropical,9084.84,680.4326423,oxisol,plutonic,shrubland_grassland,2.1915,0.129235089,2.039598888,59.84580441,15.52718114,8.86E-05,194.1578947,13.92981525
EAGLE RIVER AT AVON,USGS,39.6348611,-106.5319444,Subarctic,1038.585,3217.645386,inceptisols,plutonic,evergreen_needleleaf_forest,2.83,0.696797362,1.262381768,468.9520215,-0.11549904,0.416020218,136.1578947,14.92060317
EAGLE RIVER AT RED CLIFF,USGS,39.50831949,-106.3666948,Subarctic,2447.539,3321.688022,inceptisols,plutonic,shrubland_grassland,0.3962,0.716586252,1.262381768,461.2080939,-1.065453378,0.411410296,136.6315789,14.90727243
EAGLE RIVER GYPSUM,USGS,39.64942954,-106.9536554,Subarctic,481.7378,2921.6554,mollisols,plutonic,shrubland_grassland,6.7637,0.669877914,1.262381768,436.7482793,0.478364023,0.40977554,128.2631579,14.92214169
EAGLE RIVER NEAR MINTURN,USGS,39.55387495,-106.402529,Subarctic,181.8172,3307.912322,inceptisols,plutonic,evergreen_needleleaf_forest,1.26501,0.70212204,1.262381768,458.1754003,-0.879159249,0.410248468,136,14.91206477
EAMONT AT UDFORD,UK,54.6668739,-2.6604445,Humid Temperate,396.2,341.9783315,spodosols,carbonate_evaporite,cropland,9.68,0.27066337,3.664359685,311.3682014,8.536275912,6.26E-05,75.10526316,17.18486038
East Fork,Walker Branch,35.958918,-84.278736,Humid Subtropical,0.61362888,321.1666667,ultisols,carbonate_evaporite,deciduous_broadleaf_forest,0.0029,0.126748252,3.839993505,719.1765547,15.4780322,0.736646753,90.10526316,14.55531045
EDEN AT PENSHURST / VEXOUR BRIDGE,UK,51.1732168,0.17438356,Humid Temperate,224.3,91.73251029,alfisols,sedimentary,cropland,0.644,0.173841751,2.281216097,341.1648674,10.31834922,8.47E-05,66.89473684,16.48647381
EDEN AT TEMPLE SOWERBY,UK,54.6464426,-2.615173,Humid Temperate,616.4,296.2288012,spodosols,carbonate_evaporite,cropland,7.64,0.241239104,3.156702961,34.3144818,7.973877173,5.08E-05,72.78947368,17.18027281
EDISTO RIVER,USGS,33.02794645,-80.3914876,Humid Subtropical,7070.668,83.03302071,ultisols,sedimentary,cropland,39.054,0.129010175,3.47368526,832.6054972,17.62909494,0.653280206,84.21052632,14.292008
EDWARD RIVER AT DENILIQUIN,Australia,-35.53,145,Semi-Arid,29229.5,583.3912973,oxisol,sedimentary,evergreen_broadleaf_forest,31.958,0.202104433,1.820915495,141.847471,12.76483381,0.00011474,112.1052632,14.50486625
EDWARD RIVER AT MOULAMEIN,Australia,-35.09,144,Semi-Arid,91400.6,463.294647,oxisol,sedimentary,cropland,17.3125,0.196810319,1.521620024,107.6778513,13.72509584,8.22E-05,131.7368421,14.46461124
Elbe,Germany,51.85,12.64,Humid Temperate,61724,421.3019663,inceptisols,sedimentary,cropland,281,0.357251558,2.49441856,492.2462386,8.085253396,7.31E-05,NA,16.60977061
Elkhorn River,USGS,41.2933333,-96.2838889,Humid Continental,17870.92,537.6074467,mollisols,sedimentary,cropland,29.149,0.435495061,2.119728282,566.6830945,9.166515986,0.429272851,122,15.1010038
ELY OUSE AT DENVER COMPLEX,UK,52.5824277,0.35713245,Humid Temperate,3430,40.43844974,mollisols,sedimentary,cropland,11.3,0.183456516,2.209633569,147.8058204,10.02951405,6.35E-05,66.94736842,16.7491397
Eman Emsfors,Swedish Goverment,57.1412712,16.452718,Humid Temperate,4468.850599,191.6185751,spodosols,plutonic,evergreen_needleleaf_forest,23.9,0.412562739,2.220710031,429.678478,6.383108458,0.661734693,88,17.7981864
Enningdalsalv N.Bullaren,Swedish Goverment,58.8771685,11.5373969,Humid Continental,505.737318,147.310363,spodosols,metamorphic,evergreen_needleleaf_forest,7.475,0.472504741,2.765752905,426.153737,7.053562442,0.695722979,93.63157895,18.31500927
ESK AT CROPPLE HOW,UK,54.9890095,-2.9954871,Humid Temperate,70.2,333.7845304,spodosols,volcanic,cropland,2.55,0.241548986,3.664359685,60.60724006,9.156545567,5.87E-05,92.57894737,17.25811497
